"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"3070","Mauritania",435,1964,-1.35005044937134,0,6.97914505004883,6.71780490875244,-0.699999988079071
"3071","Mauritania",435,1965,-1.3067045211792,0,7.0003342628479,6.83303165435791,-0.699999988079071
"3072","Mauritania",435,1966,-1.17336547374725,0,7.02108383178711,6.82437372207642,-0.699999988079071
"3073","Mauritania",435,1967,-1.0815064907074,0,7.04228639602661,6.84375,-0.699999988079071
"3074","Mauritania",435,1968,-1.04619812965393,0,7.06390380859375,6.91373729705811,-0.699999988079071
"3075","Mauritania",435,1969,-0.955343902111053,0,7.08590126037598,6.88243770599365,-0.699999988079071
"3076","Mauritania",435,1970,-1.03098404407501,0,7.10824394226074,6.96508026123047,-0.699999988079071
"3077","Mauritania",435,1971,-1.26752090454102,0,7.13089895248413,6.95749759674072,-0.699999988079071
"3078","Mauritania",435,1972,-1.1948949098587,0,7.15383386611938,6.95368432998657,-0.699999988079071
"3079","Mauritania",435,1973,-0.946875631809235,0,7.17701864242554,6.87316370010376,-0.699999988079071
"3080","Mauritania",435,1974,-0.932235598564148,0,7.2004246711731,6.95272874832153,-0.699999988079071
"3081","Mauritania",435,1975,-0.426724165678024,0,7.22402477264404,6.86901426315308,-0.699999988079071
"3082","Mauritania",435,1976,-0.0924435779452324,0,7.24850416183472,6.92755794525146,-0.699999988079071
"3083","Mauritania",435,1977,0.11883208155632,0,7.27239847183228,6.89669418334961,-0.699999988079071
"3084","Mauritania",435,1978,-0.0551258660852909,0,7.29709100723267,6.87316370010376,-0.699999988079071
"3085","Mauritania",435,1979,0.00185540795791894,0,7.32184982299805,6.89871454238892,-0.699999988079071
"3086","Mauritania",435,1980,-0.101485945284367,0,7.34729957580566,6.91671514511108,-0.699999988079071
"3087","Mauritania",435,1981,-0.181001380085945,0,7.37274646759033,6.93342304229736,-0.699999988079071
"3088","Mauritania",435,1982,-0.154017806053162,0,7.39878606796265,6.89162588119507,-0.699999988079071
"3089","Mauritania",435,1983,-0.289423674345016,0,7.42535781860352,6.91671514511108,-0.699999988079071
"3090","Mauritania",435,1984,-0.389420807361603,0,7.4512414932251,6.82001638412476,-0.699999988079071
"3091","Mauritania",435,1985,-0.366857945919037,0,7.47703838348389,6.8254599571228,-0.699999988079071
"3092","Mauritania",435,1986,-0.31641012430191,0,7.5027379989624,6.85646200180054,-0.699999988079071
"3093","Mauritania",435,1987,-0.365896284580231,0,7.52779388427734,6.86380338668823,-0.699999988079071
"3094","Mauritania",435,1988,-0.869082570075989,0,7.55276203155518,6.87626457214355,-0.699999988079071
"3095","Mauritania",435,1989,-0.554609060287476,0,7.57763385772705,6.88959121704102,-0.699999988079071
"3096","Mauritania",435,1990,-1.05337464809418,0,7.60290050506592,6.85435438156128,-0.699999988079071
